epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45516,1.53436,2.85598,1.74141,0.00519,0.875,0.18913,0.10044,1.70669,3.02661,1.82555,2e-05,2e-05,2e-05
2,2.2716,1.58066,2.92054,1.6884,0.00519,0.875,0.21355,0.08652,1.78123,3.03428,1.83157,5.8812e-05,5.8812e-05,5.8812e-05
3,3.08939,1.75641,2.87179,1.76003,0.00519,0.875,0.23418,0.10433,1.35463,2.89707,1.61681,9.604e-05,9.604e-05,9.604e-05
4,3.96658,1.1892,2.72202,1.46701,0.00593,1,0.678,0.27595,1.07117,2.80652,1.33836,0.000131684,0.000131684,0.000131684
5,4.79395,1.12847,2.56223,1.35824,0.00593,1,0.77014,0.46629,1.00233,2.78724,1.32368,0.000165744,0.000165744,0.000165744
6,8.70974,1.09591,2.44268,1.29368,0.00593,1,0.7473,0.39295,1.15827,2.81969,1.5716,0.00019822,0.00019822,0.00019822
7,9.6152,0.98419,2.33335,1.26407,0.00593,1,0.5084,0.24176,1.49576,2.85841,1.86563,0.000229112,0.000229112,0.000229112
8,10.4762,0.9122,2.19144,1.22497,0.00593,1,0.5352,0.27295,1.3845,2.84222,1.69182,0.00025842,0.00025842,0.00025842
9,11.2822,0.90767,1.96961,1.23492,0.00593,1,0.77238,0.39088,1.13379,2.76298,1.47322,0.000286144,0.000286144,0.000286144
10,12.0789,0.83092,1.87194,1.15768,0.00593,1,0.8231,0.42889,0.98927,2.66502,1.31768,0.000312284,0.000312284,0.000312284
11,12.8789,0.90871,1.84666,1.23658,0.00593,1,0.88046,0.45923,1.02982,2.58975,1.29531,0.00033684,0.00033684,0.00033684
12,13.6939,0.95668,1.77656,1.28456,0.40342,0.875,0.84678,0.43836,1.12431,2.50017,1.44292,0.000359812,0.000359812,0.000359812
13,14.4844,0.91434,1.66178,1.22943,0.8367,0.625,0.77362,0.41047,1.22947,2.40225,1.57702,0.0003812,0.0003812,0.0003812
14,15.2873,1.1332,1.74927,1.45341,1,0.62693,0.84269,0.43391,1.14054,2.31917,1.5738,0.000401004,0.000401004,0.000401004
15,16.192,0.85531,1.5258,1.19361,1,0.64953,0.8612,0.48818,1.12396,2.25785,1.56398,0.000419224,0.000419224,0.000419224
16,17.0015,1.05072,1.48288,1.29521,1,0.6616,0.87587,0.49361,1.09251,2.25455,1.46353,0.00043586,0.00043586,0.00043586
17,17.808,0.88471,1.30643,1.19525,0.90911,0.6252,0.90141,0.52911,1.01808,2.252,1.33798,0.000450912,0.000450912,0.000450912
18,18.6287,0.98285,1.46614,1.25587,0.90236,0.57872,0.90879,0.57379,0.98173,2.20005,1.26009,0.00046438,0.00046438,0.00046438
19,19.4559,0.96561,1.40609,1.30323,0.90974,0.63038,0.90304,0.57198,1.05539,2.17157,1.30369,0.000476264,0.000476264,0.000476264
20,20.2691,1.09241,1.42129,1.29212,0.96236,0.625,0.81655,0.54138,1.1624,2.1513,1.38985,0.000486564,0.000486564,0.000486564
21,21.0859,1.11947,1.40792,1.30656,0.88203,0.625,0.77628,0.46746,1.23934,2.12505,1.44513,0.00049528,0.00049528,0.00049528
22,21.8826,1.03014,1.52382,1.30518,0.93385,0.5625,0.77298,0.52023,1.23236,2.15417,1.41673,0.000502412,0.000502412,0.000502412
23,22.677,1.07112,1.36696,1.24792,0.82648,0.5,0.72003,0.46262,1.17642,2.18706,1.31958,0.00050796,0.00050796,0.00050796
24,23.4992,0.99243,1.39665,1.21663,0.47103,0.4375,0.57315,0.26677,1.38179,2.38724,1.51198,0.000511924,0.000511924,0.000511924
25,24.3312,0.76936,1.1262,1.15605,0.69007,0.4375,0.57282,0.24553,1.41825,2.5157,1.55638,0.000514304,0.000514304,0.000514304
26,25.1237,0.94244,1.2632,1.21249,0.59634,0.4375,0.60798,0.29806,1.26063,2.47176,1.42274,0.0005151,0.0005151,0.0005151
27,25.935,0.88947,1.29325,1.22757,0.8367,0.5625,0.72008,0.44669,1.20805,2.26722,1.35267,0.000514312,0.000514312,0.000514312
28,26.7222,0.94677,1.25765,1.27825,0.8367,0.5625,0.72008,0.44669,1.20805,2.26722,1.35267,0.00051194,0.00051194,0.00051194
29,27.5343,0.94694,1.32217,1.24061,0.90884,0.62326,0.78047,0.49226,1.20134,2.16447,1.39325,0.000507984,0.000507984,0.000507984
30,28.3434,0.94857,1.19393,1.23161,0.89362,0.6875,0.79394,0.53609,1.19662,2.14396,1.46664,0.000502444,0.000502444,0.000502444
31,29.1422,0.94057,1.16792,1.20198,0.89362,0.6875,0.79394,0.53609,1.19662,2.14396,1.46664,0.00049532,0.00049532,0.00049532
32,29.9446,0.99069,1.19702,1.24211,0.92991,0.6875,0.80448,0.54885,1.14336,2.06508,1.41339,0.000486612,0.000486612,0.000486612
33,30.7311,0.88537,1.14984,1.18152,0.96776,0.6875,0.83362,0.57563,1.14212,2.02609,1.35908,0.00047632,0.00047632,0.00047632
34,31.5062,0.84497,1.06387,1.08808,0.96776,0.6875,0.83362,0.57563,1.14212,2.02609,1.35908,0.000464444,0.000464444,0.000464444
35,32.3067,0.90905,1.13777,1.17192,1,0.71127,0.86057,0.55543,1.14831,1.9573,1.38879,0.000450984,0.000450984,0.000450984
36,33.1332,0.80407,1.02385,1.13112,1,0.67477,0.85884,0.54101,1.14426,1.89365,1.41902,0.00043594,0.00043594,0.00043594
37,33.917,0.76519,1.06974,1.07726,1,0.67477,0.85884,0.54101,1.14426,1.89365,1.41902,0.000419312,0.000419312,0.000419312
38,34.7114,0.85024,1.14726,1.13891,0.92162,0.73581,0.85908,0.51397,1.16124,1.87882,1.47196,0.0004011,0.0004011,0.0004011
39,35.5717,0.79788,1.10374,1.12603,0.86161,0.7793,0.87078,0.51427,1.2136,1.86398,1.5119,0.000381304,0.000381304,0.000381304
40,36.3317,0.85227,1.02193,1.13037,0.86161,0.7793,0.87078,0.51427,1.2136,1.86398,1.5119,0.000359924,0.000359924,0.000359924
41,37.8683,0.80474,1.61234,1.23683,0.99886,0.8125,0.90229,0.53239,1.21579,1.84262,1.48012,0.00033696,0.00033696,0.00033696
42,38.9986,0.69988,1.42433,1.15006,1,0.80859,0.9168,0.55957,1.14997,1.83847,1.47056,0.000312412,0.000312412,0.000312412
43,39.7614,0.69888,1.35229,1.0793,1,0.80859,0.9168,0.55957,1.14997,1.83847,1.47056,0.00028628,0.00028628,0.00028628
44,43.5831,0.62355,1.30718,1.03295,1,0.80496,0.91136,0.55362,1.16055,1.86535,1.45706,0.000258564,0.000258564,0.000258564
45,44.3707,0.648,1.33403,1.08905,1,0.80496,0.91136,0.55362,1.16055,1.86535,1.45706,0.000229264,0.000229264,0.000229264
46,45.1627,0.60436,1.23974,1.03569,0.99803,0.8125,0.87735,0.53929,1.20309,1.86155,1.48195,0.00019838,0.00019838,0.00019838
47,45.9385,0.64882,1.27547,1.06841,0.99803,0.8125,0.87735,0.53929,1.20309,1.86155,1.48195,0.000165912,0.000165912,0.000165912
48,46.7446,0.61443,1.3143,1.1129,0.98428,0.8125,0.8559,0.53197,1.21567,1.81802,1.49417,0.00013186,0.00013186,0.00013186
49,47.5932,0.52773,1.2326,0.98904,0.98428,0.8125,0.8559,0.53197,1.21567,1.81802,1.49417,9.6224e-05,9.6224e-05,9.6224e-05
50,48.3971,0.59742,1.27398,1.04383,0.9852,0.8125,0.85527,0.53211,1.2007,1.78647,1.48285,5.9004e-05,5.9004e-05,5.9004e-05
