epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86563,1.37753,2.81318,1.48545,0.00571,0.85714,0.1438,0.07223,1.78291,2.9966,1.76186,2e-05,2e-05,2e-05
2,2.64292,1.65999,2.84609,1.75339,0.00476,0.71429,0.1232,0.05843,1.87379,3.03603,1.83144,4.812e-05,4.812e-05,4.812e-05
3,3.31091,1.44201,2.85183,1.51614,0.00476,0.71429,0.15271,0.0628,1.96761,3.0739,1.90563,6.04e-05,6.04e-05,6.04e-05
4,4.00923,1.14486,2.84836,1.32239,0.00429,0.64286,0.14233,0.0818,1.7509,3.07779,1.80097,5.684e-05,5.684e-05,5.684e-05
5,4.77215,1.37099,2.73744,1.52355,0.00476,0.71429,0.17856,0.10823,1.64803,3.04706,1.72215,3.744e-05,3.744e-05,3.744e-05
