epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.39305,1.37753,2.81318,1.48545,0.00571,0.85714,0.1438,0.07223,1.78291,2.9966,1.76186,2e-05,2e-05,2e-05
2,2.11888,1.65999,2.84609,1.75339,0.00476,0.71429,0.1232,0.05843,1.87379,3.03603,1.83144,5.9406e-05,5.9406e-05,5.9406e-05
3,5.80093,1.44201,2.85183,1.51614,0.00476,0.71429,0.15271,0.0628,1.96761,3.0739,1.90563,9.802e-05,9.802e-05,9.802e-05
4,6.52853,1.11912,2.83061,1.29957,0.00476,0.71429,0.21099,0.14106,1.81505,2.97577,1.77913,0.000135842,0.000135842,0.000135842
5,7.29803,1.13398,2.56743,1.34916,0.00619,0.92857,0.38552,0.22041,1.10508,2.92547,1.42446,0.000172872,0.000172872,0.000172872
6,8.06439,0.88452,2.36545,1.17442,0.00667,1,0.61859,0.33545,1.15372,2.79074,1.46993,0.00020911,0.00020911,0.00020911
7,8.85591,0.93703,2.20956,1.18763,0.00667,1,0.67124,0.3828,1.07927,2.76019,1.37049,0.000244556,0.000244556,0.000244556
8,9.85558,0.96388,2.05157,1.19557,0.00667,1,0.73094,0.36819,1.10681,2.77783,1.40017,0.00027921,0.00027921,0.00027921
9,10.6475,0.95124,1.93632,1.2104,0.00667,1,0.7054,0.37598,1.09615,2.74343,1.35684,0.000313072,0.000313072,0.000313072
10,11.5223,0.91549,1.84939,1.18073,0.00667,1,0.70867,0.35593,1.07801,2.68567,1.38417,0.000346142,0.000346142,0.000346142
11,12.4717,0.85858,1.72262,1.09868,0.00667,1,0.7269,0.38514,1.13578,2.63037,1.42343,0.00037842,0.00037842,0.00037842
12,13.2377,0.92205,1.60301,1.15681,0.01062,0.85714,0.77597,0.40027,1.14785,2.60712,1.41777,0.000409906,0.000409906,0.000409906
13,13.9807,0.83993,1.60893,1.16581,0.57983,0.78571,0.8248,0.4511,1.12794,2.51668,1.48184,0.0004406,0.0004406,0.0004406
14,14.7226,0.93776,1.67012,1.21192,1,0.77073,0.83601,0.42426,1.20403,2.4428,1.656,0.000470502,0.000470502,0.000470502
15,15.4448,0.92853,1.41365,1.20449,0.65077,0.64286,0.70774,0.4462,1.3558,2.48638,1.84058,0.000499612,0.000499612,0.000499612
16,16.1713,0.85839,1.40161,1.2105,0.80383,0.58647,0.71147,0.38026,1.40092,2.59189,1.78121,0.00052793,0.00052793,0.00052793
17,16.8944,1.13902,1.42661,1.39977,1,0.29271,0.67478,0.3951,1.38938,2.57133,1.72241,0.000555456,0.000555456,0.000555456
18,17.6449,0.97577,1.34703,1.29127,1,0.50105,0.78156,0.42214,1.43405,2.47076,1.64928,0.00058219,0.00058219,0.00058219
19,18.3813,0.97489,1.26167,1.21125,1,0.62327,0.78239,0.4067,1.43238,2.41133,1.5894,0.000608132,0.000608132,0.000608132
20,19.1409,0.93883,1.23463,1.22428,0.90273,0.66429,0.78081,0.41661,1.36514,2.33839,1.6086,0.000633282,0.000633282,0.000633282
21,19.8605,1.07959,1.30109,1.24972,1,0.59143,0.72589,0.42741,1.35964,2.28026,1.65522,0.00065764,0.00065764,0.00065764
22,20.5946,0.88236,1.24214,1.11999,1,0.6145,0.70554,0.43886,1.43409,2.17289,1.75812,0.000681206,0.000681206,0.000681206
23,21.3503,0.8772,1.2411,1.21822,0.99339,0.64286,0.70287,0.47381,1.48621,2.07087,1.61761,0.00070398,0.00070398,0.00070398
24,22.1718,0.89538,1.34132,1.17172,0.86717,0.64286,0.69181,0.4969,1.30111,2.0422,1.5362,0.000725962,0.000725962,0.000725962
25,23.1791,0.83004,1.09649,1.12418,0.96223,0.57143,0.66103,0.45246,1.29123,2.03983,1.591,0.000747152,0.000747152,0.000747152
