epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.80737,1.00603,3.80515,1.33216,0.00766,0.89889,0.14244,0.10209,0.86801,3.30861,1.23843,0.00021704,0.00021704,0.00021704
2,18.5724,0.88632,3.39297,1.24107,0.00674,0.94333,0.19522,0.11808,1.21256,2.99157,1.61442,0.000424874,0.000424874,0.000424874
3,27.0914,0.88407,2.82478,1.24294,0.56843,0.12173,0.21285,0.10418,1.38824,2.69033,1.67885,0.000618034,0.000618034,0.000618034
4,38.322,0.94033,2.41871,1.2833,0.5096,0.44699,0.41014,0.31627,1.05947,2.18538,1.46511,0.000600967,0.000600967,0.000600967
5,46.845,0.83909,1.9968,1.1852,0.57974,0.53457,0.50295,0.36486,1.04223,2.07585,1.42017,0.000578956,0.000578956,0.000578956
6,55.3576,0.81601,1.73182,1.14926,0.62297,0.52569,0.67329,0.47383,1.11834,1.49107,1.45467,0.000556945,0.000556945,0.000556945
7,63.8424,0.82773,1.56802,1.1578,0.5601,0.68024,0.64725,0.49513,1.03356,1.35785,1.44055,0.000534934,0.000534934,0.000534934
8,75.456,0.80331,1.47994,1.21002,0.60165,0.72561,0.73149,0.56676,1.07217,1.30609,1.39825,0.000512923,0.000512923,0.000512923
9,83.9206,0.74076,1.35,1.12199,0.77894,0.60726,0.70911,0.55337,0.94771,1.24431,1.34531,0.000490912,0.000490912,0.000490912
10,92.248,0.72059,1.22875,1.08827,0.59713,0.75073,0.7357,0.5772,1.03862,1.1417,1.40293,0.000468901,0.000468901,0.000468901
11,103.537,0.71024,1.16705,1.10389,0.83485,0.7468,0.78943,0.61675,0.9899,1.06339,1.37799,0.00044689,0.00044689,0.00044689
12,112.115,0.68609,1.10208,1.07416,0.75701,0.79018,0.76962,0.59089,1.02688,1.03229,1.37652,0.000424879,0.000424879,0.000424879
13,120.402,0.69928,1.09428,1.09688,0.74643,0.75835,0.78354,0.60266,0.99332,1.0434,1.33024,0.000402868,0.000402868,0.000402868
14,128.716,0.69378,1.07572,1.09233,0.81366,0.7156,0.7907,0.62948,0.91303,0.94121,1.32169,0.000380857,0.000380857,0.000380857
15,140.244,0.66392,0.96862,1.05336,0.8471,0.73426,0.80494,0.64611,0.84145,0.88835,1.22172,0.000358846,0.000358846,0.000358846
16,148.615,0.63321,0.94481,1.04758,0.86445,0.81168,0.8304,0.68045,0.84428,0.7818,1.2123,0.000336835,0.000336835,0.000336835
17,157.202,0.62134,0.91647,1.05178,0.83341,0.79651,0.81376,0.62017,0.97432,0.86523,1.30335,0.000314824,0.000314824,0.000314824
18,165.558,0.61945,0.888,1.03064,0.82434,0.78864,0.80875,0.63082,0.92651,0.81016,1.2894,0.000292813,0.000292813,0.000292813
19,176.765,0.59586,0.8049,1.02177,0.85171,0.7493,0.79425,0.62671,0.92897,0.8287,1.2947,0.000270802,0.000270802,0.000270802
20,185.227,0.59719,0.8209,1.03653,0.89114,0.72941,0.81032,0.62876,0.97577,0.79122,1.34222,0.000248791,0.000248791,0.000248791
21,195.436,0.51146,0.93484,1.00751,0.81605,0.78503,0.79831,0.62935,0.88858,0.78718,1.27351,0.00022678,0.00022678,0.00022678
22,204.284,0.47702,0.8236,0.98071,0.88834,0.69979,0.81377,0.66413,0.82206,0.71326,1.19884,0.000204769,0.000204769,0.000204769
23,215.752,0.49864,0.81817,0.99107,0.90462,0.73089,0.82448,0.6665,0.87403,0.72045,1.23254,0.000182758,0.000182758,0.000182758
24,224.201,0.46125,0.78764,0.99504,0.87905,0.72495,0.81855,0.66425,0.8506,0.72454,1.22116,0.000160747,0.000160747,0.000160747
25,233.008,0.43763,0.74685,0.97097,0.82187,0.79713,0.82024,0.6643,0.82463,0.687,1.19937,0.000138736,0.000138736,0.000138736
26,241.579,0.48221,0.75845,0.99087,0.81914,0.76938,0.81824,0.66049,0.80641,0.67798,1.16773,0.000116725,0.000116725,0.000116725
27,253.144,0.40463,0.74392,0.95586,0.85548,0.77914,0.82995,0.67608,0.81725,0.66133,1.19733,9.4714e-05,9.4714e-05,9.4714e-05
28,261.824,0.38908,0.65471,0.92523,0.87897,0.76837,0.82081,0.66986,0.81438,0.67244,1.17361,7.2703e-05,7.2703e-05,7.2703e-05
29,270.548,0.39402,0.68211,0.94424,0.8796,0.76878,0.82657,0.67621,0.7848,0.64453,1.16733,5.0692e-05,5.0692e-05,5.0692e-05
30,281.824,0.36757,0.62079,0.93454,0.87415,0.76642,0.82967,0.67915,0.80378,0.64283,1.16966,2.8681e-05,2.8681e-05,2.8681e-05
