epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01293,1.53436,2.85598,1.74141,0.00519,0.875,0.18913,0.10044,1.70669,3.02661,1.82555,2e-05,2e-05,2e-05
2,1.79204,1.58066,2.92054,1.6884,0.00519,0.875,0.21355,0.08652,1.78123,3.03428,1.83157,5.802e-05,5.802e-05,5.802e-05
3,2.56248,1.75641,2.87179,1.76003,0.00519,0.875,0.27835,0.11084,1.36952,2.89838,1.6193,9.34e-05,9.34e-05,9.34e-05
4,3.4995,1.19672,2.72673,1.47209,0.00593,1,0.65715,0.3025,1.08392,2.80566,1.34357,0.00012614,0.00012614,0.00012614
5,4.35104,1.12651,2.56028,1.35458,0.00593,1,0.74606,0.44578,1.00375,2.79528,1.33049,0.00015624,0.00015624,0.00015624
6,5.19415,1.08345,2.44545,1.28593,0.00593,1,0.70355,0.39097,1.06419,2.78082,1.43463,0.0001837,0.0001837,0.0001837
7,6.04826,0.99313,2.35203,1.26109,0.00593,1,0.59531,0.28604,1.20894,2.85131,1.58937,0.00020852,0.00020852,0.00020852
8,6.86715,0.93855,2.19863,1.22006,0.00593,1,0.57986,0.31269,1.08001,2.83537,1.43859,0.0002307,0.0002307,0.0002307
9,10.6123,0.92652,2.06014,1.24237,0.00593,1,0.72634,0.38562,1.0656,2.79036,1.39585,0.00025024,0.00025024,0.00025024
10,11.4221,0.82339,1.95229,1.14784,0.00593,1,0.83929,0.43208,0.98047,2.73391,1.32383,0.00026714,0.00026714,0.00026714
11,12.2497,0.89439,1.9216,1.20973,0.00593,1,0.84476,0.43818,1.1128,2.6925,1.3769,0.0002814,0.0002814,0.0002814
12,13.1355,0.92992,1.90536,1.25544,0.00593,1,0.7847,0.40178,1.18673,2.67531,1.46381,0.00029302,0.00029302,0.00029302
13,13.95,1.00921,1.81517,1.28076,0.00593,1,0.70198,0.41717,1.19845,2.60747,1.46698,0.000302,0.000302,0.000302
14,14.8482,1.0631,1.85391,1.37765,0.01095,1,0.79293,0.41459,1.15618,2.5286,1.46366,0.00030834,0.00030834,0.00030834
15,15.6593,0.84623,1.73953,1.15876,0.27197,0.875,0.80209,0.41208,1.15101,2.49436,1.48409,0.00031204,0.00031204,0.00031204
16,16.4637,0.93343,1.62487,1.21618,0.55265,0.75,0.79831,0.42793,1.06002,2.48865,1.40325,0.0003131,0.0003131,0.0003131
17,17.3033,0.89086,1.43493,1.19639,0.47895,0.97709,0.83347,0.42236,1.08194,2.49546,1.39357,0.00031152,0.00031152,0.00031152
18,18.1037,0.88706,1.47191,1.22655,0.28556,1,0.85852,0.41405,1.10096,2.56344,1.31626,0.0003073,0.0003073,0.0003073
19,18.9208,0.97853,1.50785,1.34074,0.19783,1,0.89896,0.38238,1.1736,2.61476,1.36625,0.00030044,0.00030044,0.00030044
20,19.721,1.07968,1.48173,1.3366,0.52309,0.96021,0.943,0.39042,1.27421,2.6224,1.4091,0.00029094,0.00029094,0.00029094
21,21.1802,0.97256,2.02559,1.34015,0.86772,0.875,0.91029,0.49005,1.2473,2.57649,1.40785,0.0002788,0.0002788,0.0002788
22,22.1219,0.7787,1.60667,1.13717,0.89547,0.53704,0.86106,0.50493,1.26728,2.57278,1.41982,0.00026402,0.00026402,0.00026402
23,22.9353,0.77993,1.56529,1.1486,1,0.34652,0.86856,0.49843,1.29912,2.54697,1.45159,0.0002466,0.0002466,0.0002466
24,23.723,0.72785,1.49955,1.07421,1,0.25246,0.87836,0.45485,1.31026,2.54648,1.52157,0.00022654,0.00022654,0.00022654
25,24.5425,0.74137,1.53974,1.18995,1,0.17999,0.87012,0.45711,1.39992,2.51453,1.60194,0.00020384,0.00020384,0.00020384
26,25.3515,0.76998,1.50496,1.16035,1,0.37572,0.86925,0.4654,1.40731,2.49259,1.66729,0.0001785,0.0001785,0.0001785
27,26.1567,0.83758,1.50353,1.23876,1,0.43359,0.87335,0.43206,1.42945,2.45654,1.67261,0.00015052,0.00015052,0.00015052
28,26.9371,0.67969,1.47425,1.11415,1,0.43359,0.87335,0.43206,1.42945,2.45654,1.67261,0.0001199,0.0001199,0.0001199
29,27.7578,0.6855,1.44368,1.20039,1,0.6704,0.88268,0.45911,1.41375,2.40673,1.67078,8.664e-05,8.664e-05,8.664e-05
30,28.5485,0.73863,1.42071,1.01084,1,0.80196,0.88526,0.48372,1.37069,2.37748,1.64663,5.074e-05,5.074e-05,5.074e-05
